date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:03:21	101652/101652	---MCZ	200	added ('OK')	application/x-font-woff	date:Mon,%2028%20Nov%202022%2021:03:21%20GMT	https://templatekit.jegtheme.com/pirus/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff	(from https://templatekit.jegtheme.com/pirus/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=5.1.4)
22:03:21	202744/202744	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2028%20Nov%202022%2021:03:22%20GMT	https://templatekit.jegtheme.com/pirus/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.ttf	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.ttf	(from https://templatekit.jegtheme.com/pirus/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=5.1.4)
22:03:21	110522/110522	---M-Z	200	added ('OK')	image/jpeg	etag:%221afba-5bbfcfdfe2fc0;5ee8a1c977f5b-gzip%22	https://templatekit.jegtheme.com/creative1/wp-content/uploads/sites/43/2020/11/7Artboard-90.jpg	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/creative1/wp-content/uploads/sites/43/2020/11/7Artboard-90.jpg	(from https://templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/elementor/css/post-821.css?ver=1667367831)
22:03:22	918991/918991	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2028%20Nov%202022%2021:03:22%20GMT	https://templatekit.jegtheme.com/pirus/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.svg	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.svg	(from https://templatekit.jegtheme.com/pirus/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=5.1.4)
22:03:22	442864/442864	---MCZ	200	added ('OK')	application/x-font-woff	date:Mon,%2028%20Nov%202022%2016:12:16%20GMT	https://templatekit.jegtheme.com/pirus/wp-content/plugins/elementskit-lite/modules/elementskit-icon-pack/assets/fonts/elementskit.woff?y24e1e	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/plugins/elementskit-lite/modules/elementskit-icon-pack/assets/fonts/elementskit97ac.woff	(from https://templatekit.jegtheme.com/pirus/wp-content/plugins/elementskit-lite/modules/elementskit-icon-pack/assets/css/ekiticons.css?ver=2.6.1)
22:03:22	201/201	---M-Z	200	added ('OK')	image/png	etag:%22c9-5dfccd29d2e2a;5ee8cc09b4bcb-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/plugins/elementskit-lite/widgets/init/assets/img/arrow.png	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/plugins/elementskit-lite/widgets/init/assets/img/arrow.png	(from https://templatekit.jegtheme.com/pirus/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=2.6.1)
22:03:22	160/160	---M-Z	200	added ('OK')	image/png	etag:%22a0-5dfccd29d2e2a;5ee8cc09b4bcb-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/plugins/elementskit-lite/widgets/init/assets/img/sort_asc.png	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/plugins/elementskit-lite/widgets/init/assets/img/sort_asc.png	(from https://templatekit.jegtheme.com/pirus/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=2.6.1)
22:03:23	158/158	---M-Z	200	added ('OK')	image/png	etag:%229e-5dfccd29d2e2a;5ee8cc09b4bcb-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/plugins/elementskit-lite/widgets/init/assets/img/sort_desc.png	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/plugins/elementskit-lite/widgets/init/assets/img/sort_desc.png	(from https://templatekit.jegtheme.com/pirus/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=2.6.1)
22:03:23	148/148	---M-Z	200	added ('OK')	image/png	etag:%2294-5dfccd29d2e2a;5ee8cc09b4bcb-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/plugins/elementskit-lite/widgets/init/assets/img/sort_asc_disabled.png	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/plugins/elementskit-lite/widgets/init/assets/img/sort_asc_disabled.png	(from https://templatekit.jegtheme.com/pirus/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=2.6.1)
22:03:23	257/257	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2028%20Nov%202022%2021:03:24%20GMT	https://templatekit.jegtheme.com/pirus/wp-content/plugins/elementskit-lite/widgets/init/assets/img/cross-out.svg	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/plugins/elementskit-lite/widgets/init/assets/img/cross-out.svg	(from https://templatekit.jegtheme.com/pirus/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=2.6.1)
